name,slope,intercept,r_squared,avg_l_min,avg_global_C,avg_local_C,density,avg_k,nodes,edges
Aarhus,8.588914902,0.261279232,0.992757159,217.7524775,0.002278712,0.000580269,4.68E-05,2.104350918,45002,47350
Abidjan,25.94381083,-0.456776445,0.961585491,204.9446273,0.002146373,0.001303508,4.51E-05,2.401713899,53212,63900
Abuja,2.333024041,0.194348729,0.971069452,71.52610076,0.006637168,0.002344116,0.001395608,2.075268817,1488,1544
Accra,13.40943948,0.322715442,0.9964148,243.6843068,0.001252668,0.00050884,2.21E-05,2.203861437,99911,110095
Acoruna,19.66309881,0.926356114,0.996667454,629.4929709,0.001063459,0.000372828,1.43E-05,2.08640311,146129,152442
Adana,14.53120371,0.606199277,0.973233353,146.5207146,0.00145082,0.000825809,4.77E-05,2.43376374,51037,62106
Addis Abeba,11.34049396,0.001143998,0.988561018,299.8827819,0.000978084,0.00044597,1.34E-05,2.241892239,167463,187717
Adelaide,25.17853897,0.660302341,0.99136054,481.060838,0.001476978,0.000557813,8.05E-06,2.177553313,270668,294697
Agra,8.139520693,0.570358031,0.994971691,158.0839467,0.002345686,0.001904073,5.98E-05,2.295545715,38390,44063
Ahmedabad,12.44054691,0.361685684,0.993824464,175.6779011,0.005035048,0.002707535,4.58E-05,2.190450296,47813,52366
Albany,4.643444611,0.311618217,0.981071124,181.2257042,0.000437679,0.000196059,6.87E-05,2.134114164,31078,33162
Alexandria,48.65134878,2.215913817,0.99867179,375.2469561,0.000836711,0.000334661,3.10E-05,2.246960602,72465,81413
Algiers,11.54796882,0.755104793,0.995268102,364.9570737,0.001937221,0.000877481,1.36E-05,2.19428033,161303,176972
Almaty,53.24494622,2.529085447,0.998881723,297.7782259,0.000714803,0.000278288,2.78E-05,2.155795981,77640,83688
Amman,24.02756267,0.996436067,0.994439429,282.6703546,0.004774139,0.002273305,1.53E-05,2.290396031,149761,171506
Ankara,52.02663546,2.284200487,0.997651589,515.771623,0.002213585,0.000917874,7.20E-06,2.2214895,308439,342597
Antwerp,12.11496292,0.668272815,0.982202777,275.597982,0.00201913,0.000835948,2.82E-05,2.159710709,76601,82718
Astana,41.87241431,1.591895226,0.992670617,125.4545912,0.001851166,0.000778902,0.000108832,2.240967366,20592,23073
Athens,66.66948483,2.914192105,0.999151533,1190.17506,0.001684146,0.00058578,2.73E-06,2.166683439,794944,861196
Atlanta,39.08809227,2.069101108,0.99835806,1174.506431,0.000406548,0.000147327,9.22E-07,2.062290526,2237451,2307137
Auckland,42.140625,2.080996056,0.997840134,483.6763936,0.000609391,0.000197043,1.41E-05,2.100975737,149323,156862
Austin,27.6391866,1.085361545,0.999390636,573.7324701,0.0006206,0.000203589,4.88E-06,2.113153108,433236,457747
Baghdad,52.98593285,2.462276003,0.992512776,300.4138228,0.002198536,0.001177858,2.34E-05,2.362414775,100763,119022
Bali,56.26241815,2.429959328,0.994113969,867.5596978,0.000653266,0.00032124,1.00E-05,2.098508332,209363,219675
Bandung,8.752492161,0.114648167,0.997229671,315.2094409,0.00177611,0.001045034,1.32E-05,2.203078872,167334,184325
Bangkok,59.49534291,3.039320468,0.992690781,778.8163273,0.000759239,0.00027756,1.94E-06,2.092727973,1076935,1126866
Barcelona,22.95689151,0.930062631,0.995980681,481.3844863,0.001616675,0.000581795,7.68E-06,2.141187943,278919,298609
Beijing,44.10044105,2.220125699,0.996571642,429.5483417,0.003729454,0.001019106,9.27E-06,2.198380789,237029,260540
Belfast,5.865558292,0.450199967,0.982776828,229.8531543,0.000447947,0.000187835,4.48E-05,2.097653665,46839,49126
Bengaluru,24.67625912,0.779436459,0.997094891,381.6371549,0.001334179,0.000652045,1.08E-05,2.234475608,206401,230599
Berlin,47.21732819,2.526804812,0.994138688,820.3562607,0.002925759,0.001067228,2.18E-06,2.133839774,978857,1044362
Bern,14.76740951,0.981497447,0.990199899,387.1282396,0.000704143,0.000258416,2.84E-05,2.066157271,72766,75173
Birmingham,14.54649052,0.982044109,0.98736415,667.7067874,0.000920871,0.000362647,3.72E-06,2.079529324,559366,581609
Bogota,52.2025685,2.097844582,0.99745042,704.449737,0.001961593,0.000790019,9.08E-06,2.272950315,250258,284412
Bologna,49.4343454,2.825113328,0.98341688,562.5815835,0.000858978,0.000337235,1.55E-05,2.096275292,135071,141573
Bordeaux,21.268367,2.514978349,0.972504391,433.7885117,0.001377931,0.000594478,1.03E-05,2.125436551,206734,219700
Boston,6.222315692,0.122169707,0.993230869,329.5116053,0.000572136,0.000194504,1.50E-05,2.17273999,144402,156874
Brasilia,63.78022585,2.324553884,0.996687579,305.072708,0.004292044,0.002375381,1.11E-05,2.385451982,215617,257172
Bratislava,47.08781437,0.19785379,0.994329484,460.41119,0.001461938,0.000533374,2.20E-05,2.088305439,94762,98946
Brisbane,60.05367088,3.888366491,0.995190791,505.2595489,0.002269552,0.000747849,6.32E-06,2.149631172,339996,365433
Brooklyn,5.294223692,0.120669381,0.985966096,137.6823142,0.006200023,0.00338524,5.28E-05,2.559184179,48442,61986
Brussels,17.28071774,0.182048565,0.99218925,459.4189223,0.00186725,0.0007817,5.52E-06,2.119519132,383972,406918
Bucharest,49.48099303,2.739204281,0.978196333,454.1204854,0.001827845,0.00072447,1.19E-05,2.177012659,183501,199742
Budapest,40.21831075,2.725258916,0.994139761,749.190455,0.00153466,0.000604193,3.16E-06,2.134796475,675077,720576
Buenos Aires,22.58691725,1.859501565,0.983317012,355.975333,0.006105174,0.004068385,7.98E-06,2.843035045,356054,506137
Cairo,52.87095053,5.515997727,0.826199039,413.6769137,0.00189912,0.000898641,6.70E-06,2.268527569,338617,384081
Calgary,37.38725808,1.468323693,0.992534786,267.9693879,0.00352601,0.000932033,1.26E-05,2.19183554,174243,190956
Cape Town,66.01049406,3.724413665,0.994235305,436.1713082,0.001381516,0.000514848,1.00E-05,2.178356077,217419,236808
Caracas,17.18774877,0.766286162,0.992463395,665.812474,0.001568257,0.000483153,1.60E-05,2.085665194,130368,135952
